label,price
NTPC,286.45
ADANIPORTS,"1,048.00"
POWERGRID,231.80
JSWSTEEL,824.80
HINDALCO,519.50
LT,"3,377.00"
APOLLOHOSP,"5,495.00"
UPL,590.00
LTIM,"5,599.00"
TECHM,"1,230.00"
ADANIENT,"2,902.70"
TCS,"3,633.00"
ONGC,199.85
BPCL,476.90
HEROMOTOCO,"3,788.00"
ITC,459.95
HCLTECH,"1,333.00"
M&M,"1,699.00"
BAJAJ-AUTO,"6,115.00"
INDUSINDBK,"1,510.00"
TATACONSUM,960.00
HDFCLIFE,680.45
MARUTI,"10,730.00"
INFY,"1,470.40"
RELIANCE,"2,463.85"
ULTRACEMCO,"9,378.30"
EICHERMOT,"4,100.00"
CIPLA,"1,225.00"
BRITANNIA,"5,024.00"
WIPRO,418.80
DIVISLAB,"3,739.00"
TATASTEEL,130.15
ASIANPAINT,"3,255.00"
NESTLEIND,"24,995.00"
BAJAJFINSV,"1,705.00"
HINDUNILVR,"2,519.00"
COALINDIA,352.00
TATAMOTORS,722.05
HDFCBANK,"1,630.45"
KOTAKBANK,"1,826.85"
DRREDDY,"5,784.85"
BAJFINANCE,"7,390.55"
SBILIFE,"1,455.00"
GRASIM,"2,080.00"
BHARTIARTL,998.70
AXISBANK,"1,115.85"
SUNPHARMA,"1,236.05"
SBIN,610.00
TITAN,"3,575.00"
ICICIBANK,994.50
